ds,power,t2m,u100,v100
2012-07-01 00:00:00,7.2170243,27.16082791468824,4.387490650220304,2.9697651012562853
2012-07-01 00:05:00,7.199555,,,
2012-07-01 00:10:00,7.225195,,,
2012-07-01 00:15:00,7.1400623,,,
2012-07-01 00:20:00,6.840966,,,
2012-07-01 00:25:00,6.3111987,,,
2012-07-01 00:30:00,6.0038333,,,
2012-07-01 00:35:00,6.1617446,,,
2012-07-01 00:40:00,6.6992035,,,
2012-07-01 00:45:00,7.5966234,,,
2012-07-01 00:50:00,8.789401,,,
2012-07-01 00:55:00,9.377166,,,
2012-07-01 01:00:00,9.644453,24.78975570107156,5.902366025671729,3.132099308437148
2012-07-01 01:05:00,9.645496,,,
2012-07-01 01:10:00,9.885736,,,
2012-07-01 01:15:00,10.287833,,,
2012-07-01 01:20:00,10.637724,,,
2012-07-01 01:25:00,10.541841,,,
2012-07-01 01:30:00,10.558401,,,
2012-07-01 01:35:00,10.7984495,,,
2012-07-01 01:40:00,11.173026,,,
2012-07-01 01:45:00,11.443854,,,
2012-07-01 01:50:00,11.45886,,,
2012-07-01 01:55:00,11.427367,,,
2012-07-01 02:00:00,11.542742,24.064404740891177,7.121548444595256,1.8421676215080505
2012-07-01 02:05:00,11.890467,,,
2012-07-01 02:10:00,12.093176,,,
2012-07-01 02:15:00,12.60376,,,
2012-07-01 02:20:00,13.300955,,,
2012-07-01 02:25:00,13.645759,,,
2012-07-01 02:30:00,13.384517,,,
2012-07-01 02:35:00,12.834199,,,
2012-07-01 02:40:00,12.339222,,,
2012-07-01 02:45:00,12.463534,,,
2012-07-01 02:50:00,12.640233,,,
2012-07-01 02:55:00,12.412913,,,
2012-07-01 03:00:00,12.34289,23.569454809715523,7.3532566283473475,0.6257206388963181
2012-07-01 03:05:00,12.58604,,,
2012-07-01 03:10:00,12.895602,,,
2012-07-01 03:15:00,13.033882,,,
2012-07-01 03:20:00,13.168383,,,
2012-07-01 03:25:00,13.2311,,,
2012-07-01 03:30:00,13.191933,,,
2012-07-01 03:35:00,13.236208,,,
2012-07-01 03:40:00,13.256221,,,
2012-07-01 03:45:00,13.419565,,,
2012-07-01 03:50:00,13.491084,,,
2012-07-01 03:55:00,13.454737,,,
2012-07-01 04:00:00,13.330142,22.829622202334576,6.626437702081944,-0.007593159736398
2012-07-01 04:05:00,13.241447,,,
2012-07-01 04:10:00,13.146153,,,
2012-07-01 04:15:00,13.2034025,,,
2012-07-01 04:20:00,13.471718,,,
2012-07-01 04:25:00,13.277439,,,
2012-07-01 04:30:00,13.022995,,,
2012-07-01 04:35:00,12.898334,,,
2012-07-01 04:40:00,12.496571,,,
2012-07-01 04:45:00,12.035295,,,
2012-07-01 04:50:00,11.7615595,,,
2012-07-01 04:55:00,11.362063,,,
2012-07-01 05:00:00,11.04099,21.926034997192858,5.810618512320752,-0.2877963533499873
2012-07-01 05:05:00,10.89928,,,
2012-07-01 05:10:00,10.91937,,,
2012-07-01 05:15:00,10.423529,,,
2012-07-01 05:20:00,9.756257,,,
2012-07-01 05:25:00,9.480333,,,
2012-07-01 05:30:00,9.469983,,,
2012-07-01 05:35:00,9.506046,,,
2012-07-01 05:40:00,9.472283,,,
2012-07-01 05:45:00,9.754741,,,
2012-07-01 05:50:00,9.882221,,,
2012-07-01 05:55:00,9.290857,,,
2012-07-01 06:00:00,8.721052,21.143798275924325,5.448468426169604,-0.5577387366604664
2012-07-01 06:05:00,8.489131,,,
2012-07-01 06:10:00,8.595494,,,
2012-07-01 06:15:00,8.666569,,,
2012-07-01 06:20:00,8.847134,,,
2012-07-01 06:25:00,8.665267,,,
2012-07-01 06:30:00,8.29229,,,
2012-07-01 06:35:00,8.324717,,,
2012-07-01 06:40:00,8.307803,,,
2012-07-01 06:45:00,8.177801,,,
2012-07-01 06:50:00,8.039624,,,
2012-07-01 06:55:00,8.084308,,,
2012-07-01 07:00:00,8.180884,20.604147141521025,5.44796173727574,-1.136264463071308
2012-07-01 07:05:00,8.147632,,,
2012-07-01 07:10:00,8.278799,,,
2012-07-01 07:15:00,7.9424744,,,
2012-07-01 07:20:00,7.5280023,,,
2012-07-01 07:25:00,7.294739,,,
2012-07-01 07:30:00,7.121466,,,
2012-07-01 07:35:00,7.425213,,,
2012-07-01 07:40:00,7.234335,,,
2012-07-01 07:45:00,6.8436513,,,
2012-07-01 07:50:00,6.4634314,,,
2012-07-01 07:55:00,5.993129,,,
2012-07-01 08:00:00,5.415029,20.32583477020779,5.337257696179644,-1.43207913678884
2012-07-01 08:05:00,5.070968,,,
2012-07-01 08:10:00,4.912654,,,
2012-07-01 08:15:00,4.9333005,,,
2012-07-01 08:20:00,5.118405,,,
2012-07-01 08:25:00,5.358804,,,
